City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,namibe,-15.1961,12.1522,25.93,75,100,1.89,AO,1707514292
311,borogontsy,62.6683,131.1683,-40.4,99,95,1.57,RU,1707514292
312,camana,-16.6228,-72.7111,25.63,79,3,3.52,PE,1707514293
313,dhidhdhoo,6.8833,73.1,27.26,72,39,3.15,MV,1707514293
314,narok,-1.0783,35.8601,17.71,76,99,0.69,KE,1707514294
315,bodaybo,57.8506,114.1933,-11.9,97,100,0.81,RU,1707514294
316,chegdomyn,51.1167,133.0167,-29.64,100,100,0.47,RU,1707514294
317,buala,-8.145,159.5921,26.71,86,100,4.92,SB,1707514298
318,sturgis,41.7992,-85.4192,16.28,59,40,2.06,US,1707514298
319,les avirons,-21.2418,55.3394,24.05,78,0,1.54,RE,1707514299
320,talnakh,69.4865,88.3972,-26.11,79,66,2.48,RU,1707514299
321,jaciara,-15.9653,-54.9683,23.37,97,95,1.84,BR,1707514299
322,qingnian,36.8456,115.7117,1.41,53,0,2.36,CN,1707514300
323,ormond-by-the-sea,29.3491,-81.0665,24.13,78,75,3.6,US,1707514300
324,amursk,50.2261,136.8994,-22.79,100,100,0.84,RU,1707514301
325,big bend,-26.8167,31.9333,23.2,99,100,2.23,SZ,1707514301
326,tangalle,6.024,80.7911,23.09,81,61,4.61,LK,1707514119
327,torghay,49.6339,63.4981,-8.12,81,84,4.94,KZ,1707514302
328,pisco,-13.7,-76.2167,29.03,70,0,8.23,PE,1707514302
329,shingu,33.7333,135.9833,4.09,66,78,2.83,JP,1707514302
330,chernyshevskiy,63.0128,112.4714,-37.95,100,97,1.16,RU,1707514303
331,kayangel,8.0823,134.7173,27.58,79,99,9.15,PW,1707514303
332,las terrenas,19.311,-69.5428,25.93,69,40,3.09,DO,1707514304
333,barrinha,-21.1936,-48.1639,32.27,45,77,2.11,BR,1707514304
334,businga,3.3333,20.8833,25.63,39,36,1.25,CD,1707514304
335,sheridan,44.8333,-106.9173,4.45,58,75,5.14,US,1707514305
336,tabou,4.423,-7.3528,27.01,86,0,2.9,CI,1707514305
337,antofagasta,-23.65,-70.4,23.6,78,4,5.69,CL,1707513964
338,paracuru,-3.41,-39.0306,29.5,80,92,4.67,BR,1707514006
339,brooks,50.5834,-111.8851,-6.01,81,83,4.63,CA,1707514232
340,arraial do cabo,-22.9661,-42.0278,28.92,70,0,8.75,BR,1707514306
341,la'ie,21.6477,-157.9253,26.98,76,44,4.92,US,1707514307
342,rosarito,32.3333,-117.0333,14.71,69,72,3.6,MX,1707514307
343,pitimbu,-7.4706,-34.8086,29.33,76,85,5.35,BR,1707514308
344,aoulef,26.9667,1.0833,20.21,12,100,4.89,DZ,1707514308
